Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Chika ISHIDA POSITION,Chika ISHIDA LAP TIME,Chika ISHIDA ELAPSED TIME,Ilsiyar SHARAFUTDINOVA POSITION,Ilsiyar SHARAFUTDINOVA LAP TIME,Ilsiyar SHARAFUTDINOVA ELAPSED TIME
3,8.77,8.77,1,8.65,8.65,5,9.01,9.01,4,8.97,8.97,2,8.73,8.73,6,9.40,9.40
2,13.16,21.94,5,13.55,22.20,4,13.11,22.12,3,13.05,22.02,1,12.87,21.60,6,12.96,22.37
2,12.16,34.10,5,12.24,34.45,4,12.15,34.27,3,12.22,34.25,1,12.33,33.94,6,12.13,34.50
3,11.11,45.21,4,10.92,45.37,1,10.54,44.82,5,11.12,45.37,2,11.08,45.02,6,11.05,45.55
3,10.97,56.18,4,10.89,56.27,1,11.28,56.11,5,10.98,56.36,2,11.11,56.14,6,10.86,56.41
5,10.47,1:06.65,1,9.72,1:05.99,3,10.32,1:06.43,4,10.18,1:06.54,2,10.28,1:06.43,6,10.24,1:06.66
2,9.91,1:16.57,1,10.47,1:16.46,4,10.35,1:16.79,5,10.39,1:16.93,3,10.26,1:16.69,6,10.29,1:16.96
2,10.64,1:27.22,1,10.74,1:27.21,4,10.63,1:27.42,6,10.63,1:27.57,3,10.68,1:27.37,5,10.60,1:27.56
4,10.78,1:38.01,1,10.59,1:37.80,5,10.76,1:38.18,2,10.36,1:37.93,3,10.58,1:37.96,6,10.74,1:38.30
3,9.80,1:47.82,2,9.96,1:47.76,5,10.23,1:48.41,1,9.73,1:47.66,4,10.10,1:48.07,6,10.22,1:48.52
4,10.28,1:58.11,2,10.20,1:57.96,5,10.24,1:58.66,1,9.84,1:57.51,3,10.03,1:58.10,6,10.29,1:58.82
4,10.20,2:08.31,2,10.20,2:08.17,5,10.36,2:09.03,1,10.18,2:07.69,3,10.17,2:08.27,6,10.73,2:09.55
3,10.89,2:19.21,2,10.48,2:18.65,4,10.64,2:19.68,1,10.50,2:18.20,6,18.76,2:27.03,5,11.02,2:20.58
3,10.92,2:30.126,2,11.02,2:29.666,4,11.16,2:30.840,1,11.02,2:29.215,6,11.80,2:38.821,5,11.64,2:32.219
