Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,German Andres TIRADO OVIEDO POSITION,German Andres TIRADO OVIEDO LAP TIME,German Andres TIRADO OVIEDO ELAPSED TIME
4,14.95,14.95,3,14.85,14.85,2,14.71,14.71,1,14.52,14.52
4,10.72,25.67,2,10.64,25.49,1,10.66,25.37,3,10.98,25.50
3,10.18,35.85,2,10.27,35.76,1,10.28,35.65,4,10.44,35.94
3,9.88,45.73,2,9.90,45.66,1,9.90,45.55,4,9.97,45.91
3,9.58,55.31,2,9.56,55.22,1,9.57,55.12,4,9.74,55.65
3,9.45,1:04.76,2,9.45,1:04.67,1,9.44,1:04.56,4,10.10,1:05.75
3,9.27,1:14.03,2,9.33,1:14.00,1,9.28,1:13.84,4,10.51,1:16.26
2,9.21,1:23.24,3,9.39,1:23.39,1,9.30,1:23.14,4,10.68,1:26.94
2,9.46,1:32.70,3,9.38,1:32.770,1,9.44,1:32.58,4,11.24,1:38.187
