OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,13.44,13.44,1,13.35,13.35,3,13.47,13.47,4,13.51,13.51
3,9.70,23.14,1,9.75,23.10,2,9.67,23.14,4,9.75,23.27
3,9.46,32.60,1,9.26,32.37,2,9.38,32.53,4,9.52,32.80
3,9.23,41.83,2,9.32,41.69,1,9.15,41.68,4,9.23,42.03
3,9.28,51.12,1,9.09,50.78,2,9.20,50.88,4,9.16,51.20
4,9.68,1:00.80,1,9.37,1:00.16,2,9.42,1:00.31,3,9.51,1:00.72
3,9.80,1:10.60,2,9.68,1:09.84,1,9.51,1:09.82,4,9.90,1:10.62
4,10.39,1:20.99,1,9.68,1:19.52,2,9.91,1:19.73,3,10.15,1:20.78
4,10.93,1:31.916,1,10.27,1:29.782,2,10.27,1:29.997,3,10.74,1:31.511
