OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME
3,10.44,10.44,1,10.31,10.31,2,10.36,10.36,4,10.64,10.64,5,10.81,10.81
3,15.29,25.73,1,15.04,25.35,2,15.19,25.55,4,15.32,25.96,5,15.32,26.13
3,14.07,39.80,1,14.11,39.46,2,14.05,39.60,4,14.00,39.96,5,13.96,40.09
3,13.76,53.56,1,13.82,53.28,2,13.81,53.41,4,13.75,53.71,5,13.79,53.88
3,13.81,1:07.37,1,13.77,1:07.05,2,13.80,1:07.21,4,13.87,1:07.58,5,13.85,1:07.73
1,12.80,1:20.17,2,13.17,1:20.22,3,13.01,1:20.22,4,12.94,1:20.52,5,12.85,1:20.58
1,10.80,1:30.97,3,10.93,1:31.15,2,10.85,1:31.07,4,10.78,1:31.30,5,11.16,1:31.74
1,10.93,1:41.90,3,10.95,1:42.10,2,10.95,1:42.02,4,10.91,1:42.21,5,10.73,1:42.47
1,10.59,1:52.49,3,10.58,1:52.68,2,10.55,1:52.57,4,10.60,1:52.81,5,10.61,1:53.08
2,9.91,2:02.40,1,9.72,2:02.40,3,9.89,2:02.46,4,9.80,2:02.61,5,11.01,2:04.09
2,9.27,2:11.67,1,9.16,2:11.56,3,9.36,2:11.82,4,9.33,2:11.94,5,11.58,2:15.67
2,9.23,2:20.90,1,9.25,2:20.81,3,9.18,2:21.00,4,9.28,2:21.22,5,12.11,2:27.78
2,9.39,2:30.29,1,9.37,2:30.18,3,9.37,2:30.37,4,9.19,2:30.41,5,13.23,2:41.01
2,9.66,2:39.949,1,9.60,2:39.776,3,10.67,2:41.040,0,,PEN,4,13.09,2:54.094
