DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,KRUEGER John-Henry POSITION,KRUEGER John-Henry LAP TIME,KRUEGER John-Henry ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,10.55,10.55,3,10.84,10.84,2,10.71,10.71,5,11.27,11.27,4,11.05,11.05,5,11.27,,7,11.48,11.48
1,14.71,25.26,4,14.63,25.47,2,14.56,25.27,7,14.79,26.06,5,14.63,25.68,6,14.56,,3,13.84,25.32
3,12.84,38.10,4,12.73,38.20,1,12.59,37.86,7,12.56,38.62,5,12.67,38.35,6,12.61,,2,12.66,37.98
3,13.17,51.27,5,13.29,51.49,1,13.26,51.12,7,12.98,51.60,5,13.14,51.49,4,12.91,,2,13.26,51.24
2,11.80,1:03.07,6,12.01,1:03.50,3,12.07,1:03.19,7,12.03,1:03.63,5,11.94,1:03.43,4,11.96,,1,11.73,1:02.97
2,10.87,1:13.94,6,10.96,1:14.46,4,10.97,1:14.16,7,10.93,1:14.56,1,10.40,1:13.83,5,11.04,,3,11.00,1:13.97
2,10.16,1:24.10,7,10.02,1:24.48,1,9.91,1:24.07,6,9.90,1:24.46,3,10.29,1:24.12,5,10.00,,4,10.29,1:24.26
1,9.93,1:34.03,6,9.86,1:34.34,1,9.96,1:34.03,5,9.87,1:34.33,3,9.99,1:34.11,7,10.09,,4,9.98,1:34.24
2,9.04,1:43.07,5,9.11,1:43.45,3,9.19,1:43.22,6,9.24,1:43.57,1,8.84,1:42.95,7,9.26,,4,9.13,1:43.37
2,8.49,1:51.56,6,8.62,1:52.07,3,8.51,1:51.73,5,8.48,1:52.05,1,8.53,1:51.48,7,8.49,,4,8.58,1:51.95
2,8.53,2:00.09,7,8.61,2:00.68,3,8.46,2:00.19,6,8.62,2:00.67,1,8.51,1:59.99,5,8.32,,4,8.51,2:00.46
2,8.65,2:08.74,7,8.83,2:09.51,3,8.67,2:08.86,5,8.56,2:09.23,1,8.65,2:08.64,4,8.61,,6,8.93,2:09.39
2,8.87,2:17.61,7,9.08,2:18.59,3,8.79,2:17.65,5,8.66,2:17.89,1,8.87,2:17.51,4,8.64,,6,8.95,2:18.34
4,9.45,2:27.067,6,9.60,2:28.194,2,9.15,2:26.803,3,8.94,2:26.834,1,9.06,2:26.575,2,8.99,,5,9.34,2:27.683
