Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
2,6.97,6.97,1,6.86,6.86,3,7.08,7.08
2,8.85,15.82,1,8.85,15.71,3,8.81,15.89
2,8.39,24.21,1,8.39,24.10,3,8.39,24.28
2,8.57,32.78,1,8.60,32.70,3,8.56,32.84
3,19.64,52.417,1,8.84,41.538,2,8.93,41.764
