KIM Chol Gwang POSITION,KIM Chol Gwang LAP TIME,KIM Chol Gwang ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME
2,12.96,12.96,3,13.09,13.09,4,13.18,13.18,1,12.90,
1,10.34,23.30,3,10.42,23.51,4,10.45,23.63,2,10.42,
1,10.02,33.32,3,10.02,33.53,4,9.98,33.61,2,10.12,
1,9.95,43.27,4,10.17,43.70,3,9.89,43.50,2,9.94,
1,9.65,52.92,3,9.37,53.07,4,9.60,53.10,2,9.60,
2,9.08,1:02.00,1,8.75,1:01.82,4,9.19,1:02.29,3,9.11,
2,8.96,1:10.96,1,8.94,1:10.76,4,9.23,1:11.52,3,8.93,
3,9.30,1:20.26,1,9.10,1:19.86,4,9.61,1:21.13,2,9.17,
3,9.64,1:29.90,1,9.41,1:29.27,3,10.07,1:31.182,2,9.52,
