Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,13.31,13.31,3,13.39,13.39,4,13.55,13.55,2,13.36,13.36
2,9.84,23.15,1,9.70,23.09,4,9.79,23.34,3,9.90,23.26
2,9.82,32.97,3,9.92,33.01,1,9.56,32.90,4,9.79,33.05
2,9.39,42.36,4,9.60,42.61,1,9.34,42.24,3,9.42,42.47
1,9.08,51.44,4,9.29,51.90,3,9.28,51.52,2,9.05,51.52
1,9.16,1:00.60,4,9.36,1:01.26,3,9.23,1:00.75,2,9.15,1:00.67
1,9.32,1:09.92,4,9.40,1:10.66,3,9.32,1:10.07,2,9.32,1:09.99
1,9.40,1:19.32,4,9.69,1:20.35,3,9.39,1:19.46,2,9.38,1:19.37
1,9.41,1:28.724,4,9.96,1:30.304,3,9.55,1:29.005,2,9.52,1:28.885
