Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME
5,15.37,15.37,3,15.18,15.18,2,15.09,15.09,1,15.00,15.00,4,15.29,15.29
5,11.20,26.57,3,11.19,26.37,1,11.05,26.14,2,11.15,26.15,4,11.21,26.50
4,10.64,37.21,3,10.74,37.11,1,10.85,36.99,2,10.91,37.06,5,10.72,37.22
1,10.04,47.25,4,10.34,47.45,2,10.29,47.28,3,10.31,47.37,5,10.36,47.58
1,9.48,56.73,3,9.59,57.04,4,9.84,57.12,2,9.66,57.03,5,9.73,57.31
1,9.53,1:06.26,2,9.34,1:06.38,4,9.69,1:06.81,3,9.55,1:06.58,5,9.58,1:06.89
1,9.59,1:15.85,2,9.55,1:15.93,5,9.65,1:16.46,3,9.48,1:16.06,4,9.40,1:16.29
1,9.76,1:25.61,2,9.72,1:25.65,5,9.93,1:26.39,3,9.74,1:25.80,4,9.52,1:25.81
2,10.06,1:35.659,1,9.46,1:35.099,5,10.38,1:36.748,4,10.25,1:36.024,3,9.91,1:35.706
