Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.90,6.90,4,7.34,7.34,2,7.04,7.04,3,7.31,7.31
1,9.25,16.15,4,9.23,16.57,2,9.22,16.26,3,9.10,16.41
1,8.75,24.90,4,8.62,25.19,2,8.73,24.99,3,8.66,25.07
2,8.67,33.57,4,8.63,33.82,1,8.56,33.55,3,8.64,33.71
3,9.16,42.726,2,8.82,42.634,1,8.82,42.365,0,,PEN
