Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
3,8.61,8.61,4,8.70,8.70,2,8.22,8.22,1,8.16,8.16,5,8.76,8.76
5,11.74,20.35,2,11.14,19.84,3,11.69,19.92,1,11.59,19.75,4,11.37,20.13
5,10.89,31.24,3,11.15,31.00,2,10.94,30.86,1,10.98,30.74,4,10.98,31.11
5,11.19,42.44,2,11.08,42.08,3,11.22,42.09,1,11.14,41.88,4,11.15,42.26
4,10.62,53.06,2,10.59,52.67,3,10.77,52.86,1,10.76,52.65,5,10.88,53.14
4,9.66,1:02.72,2,9.61,1:02.28,3,9.47,1:02.34,1,9.39,1:02.04,5,9.62,1:02.77
5,9.65,1:12.38,3,9.72,1:12.01,2,9.60,1:11.95,1,9.80,1:11.85,4,9.37,1:12.14
5,9.35,1:21.73,3,9.42,1:21.43,4,9.49,1:21.44,1,9.27,1:21.12,2,9.24,1:21.38
5,9.29,1:31.03,3,9.09,1:30.52,4,9.13,1:30.58,2,9.19,1:30.32,1,8.80,1:30.19
5,8.91,1:39.94,4,9.22,1:39.75,1,6.83,1:37.41,3,9.18,1:39.50,2,9.22,1:39.42
3,8.88,1:48.83,5,9.40,1:49.15,4,11.57,1:48.98,2,9.32,1:48.82,1,9.25,1:48.67
2,9.42,1:58.25,5,9.42,1:58.58,4,9.45,1:58.44,3,9.51,1:58.33,1,9.44,1:58.11
2,9.41,2:07.67,4,9.59,2:08.17,5,9.80,2:08.24,3,9.52,2:07.85,1,9.30,2:07.41
2,9.83,2:17.500,0,,DQ,4,9.81,2:18.051,3,9.78,2:17.624,1,9.98,2:17.384
