Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
5,11.01,11.01,2,10.56,10.56,3,10.71,10.71,4,10.84,10.84,1,10.50,10.50
3,14.04,25.05,2,14.47,25.03,4,14.45,25.16,5,14.47,25.31,1,14.40,24.90
1,11.38,36.43,3,12.18,37.21,4,12.22,37.38,5,12.21,37.52,2,12.11,37.01
1,11.07,47.50,3,10.71,47.92,4,10.61,47.99,5,10.66,48.18,2,10.73,47.74
1,10.69,58.19,3,10.51,58.43,5,10.57,58.56,4,10.38,58.56,2,10.55,58.29
1,10.01,1:08.20,4,10.08,1:08.51,5,10.09,1:08.65,3,9.85,1:08.41,2,9.99,1:08.28
1,9.95,1:18.15,4,9.92,1:18.43,5,9.91,1:18.56,3,9.92,1:18.33,2,9.95,1:18.23
1,9.79,1:27.94,4,9.81,1:28.24,5,9.79,1:28.35,3,9.80,1:28.13,2,9.79,1:28.02
1,9.60,1:37.54,4,9.63,1:37.87,5,9.66,1:38.01,3,9.63,1:37.76,2,9.62,1:37.64
1,9.37,1:46.91,4,9.33,1:47.20,5,9.31,1:47.32,3,9.33,1:47.09,2,9.34,1:46.98
1,9.24,1:56.15,4,9.12,1:56.32,5,9.16,1:56.48,3,9.21,1:56.30,2,9.19,1:56.17
3,9.26,2:05.41,2,8.67,2:04.99,4,8.96,2:05.44,5,9.27,2:05.57,1,8.81,2:04.98
3,9.15,2:14.56,1,8.72,2:13.71,4,9.15,2:14.59,5,9.09,2:14.66,2,8.82,2:13.80
4,25.01,2:39.562,1,9.05,2:22.759,0,,PEN,3,9.76,2:24.415,2,9.08,2:22.877
