Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Zsolt KALAMAR KERTESZ POSITION,Zsolt KALAMAR KERTESZ LAP TIME,Zsolt KALAMAR KERTESZ ELAPSED TIME,Urban KALSEK POSITION,Urban KALSEK LAP TIME,Urban KALSEK ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
2,8.825,8.825,1,8.497,8.497,5,9.627,9.627,4,8.997,8.997,3,8.830,8.830
3,11.076,19.900,1,11.131,19.628,4,10.538,20.165,2,10.817,19.814,5,13.802,22.632
3,10.453,30.353,2,10.672,30.299,4,10.453,30.617,5,10.980,30.794,1,7.535,30.167
2,11.085,41.437,4,11.679,41.978,3,11.270,41.886,5,11.189,41.983,1,11.262,41.429
5,11.763,53.199,2,10.794,52.772,3,11.096,52.982,4,11.214,53.197,1,11.248,52.676
5,11.520,1:04.719,2,11.631,1:04.403,3,11.475,1:04.456,4,11.331,1:04.527,1,11.536,1:04.211
5,12.389,1:17.107,2,11.711,1:16.113,4,11.924,1:16.379,3,11.738,1:16.265,1,11.808,1:16.019
5,11.009,1:28.116,3,11.499,1:27.612,2,11.212,1:27.590,4,11.618,1:27.883,1,11.118,1:27.136
5,11.171,1:39.286,2,10.087,1:37.699,3,10.464,1:38.053,4,11.128,1:39.010,1,10.483,1:37.618
5,12.180,1:51.466,3,10.451,1:48.149,1,9.740,1:47.792,4,11.470,1:50.480,2,10.193,1:47.811
5,13.886,2:05.352,2,10.746,1:58.895,3,12.163,1:59.955,4,12.260,2:02.740,1,10.150,1:57.961
5,13.301,2:18.652,2,10.906,2:09.800,3,11.860,2:11.815,4,12.487,2:15.227,1,10.432,2:08.392
5,14.303,2:32.955,2,11.664,2:21.464,3,12.226,2:24.040,4,13.131,2:28.357,1,11.377,2:19.768
5,13.70,2:46.646,2,12.35,2:33.810,3,12.61,2:36.642,4,13.77,2:42.126,1,12.01,2:31.774
