KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
3,13.55,13.55,2,13.50,13.50,4,13.73,13.73,1,13.44,13.44
1,9.73,23.28,2,9.90,23.40,4,9.86,23.59,3,10.06,23.50
2,9.84,33.12,1,9.64,33.04,4,9.64,33.23,3,9.72,33.22
2,9.31,42.43,1,9.31,42.35,3,9.30,42.53,4,9.44,42.66
2,9.25,51.68,1,9.25,51.60,3,9.28,51.81,4,9.25,51.91
2,9.15,1:00.83,1,9.15,1:00.75,4,9.31,1:01.12,3,9.19,1:01.10
2,9.08,1:09.91,1,9.06,1:09.81,4,9.49,1:10.61,3,8.93,1:10.03
2,8.98,1:18.89,1,8.95,1:18.76,4,10.28,1:20.89,3,8.97,1:19.00
2,9.17,1:28.06,1,9.14,1:27.90,4,13.14,1:34.03,3,9.18,1:28.18
