KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,12.79,12.79,1,12.72,12.72,4,12.90,12.90,5,13.15,13.15,3,12.89,12.89
5,9.91,22.70,1,9.37,22.09,2,9.27,22.17,4,9.33,22.48,3,9.41,22.30
5,8.91,31.61,1,9.07,31.16,2,9.10,31.27,4,9.05,31.53,3,9.09,31.39
5,8.85,40.46,1,8.91,40.07,2,8.91,40.18,4,8.86,40.39,3,8.92,40.31
4,8.68,49.14,1,8.83,48.90,2,8.82,49.00,5,8.96,49.35,3,8.82,49.13
3,8.82,57.96,1,8.82,57.72,2,8.90,57.90,5,8.79,58.14,4,8.89,58.02
2,8.96,1:06.92,1,8.86,1:06.58,2,9.02,1:06.92,5,9.00,1:07.14,4,9.01,1:07.03
2,8.80,1:15.72,1,8.95,1:15.53,5,9.32,1:16.24,4,8.84,1:15.98,3,8.85,1:15.88
2,8.93,1:24.65,1,9.05,1:24.58,5,9.71,1:25.930,4,8.92,1:24.880,3,8.83,1:24.71
