BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME
1,6.83,6.83,2,6.95,6.95,3,7.16,7.16,4,7.19,7.19
1,9.02,15.85,2,9.05,16.00,3,9.06,16.22,4,9.25,16.44
1,8.61,24.46,2,8.64,24.64,4,8.68,24.90,3,8.45,24.89
1,8.87,33.33,2,8.80,33.44,4,8.80,33.70,3,8.61,33.50
3,9.92,43.247,0,,PEN,2,9.17,42.865,1,9.90,42.500
