LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Davide URBANI POSITION,Davide URBANI LAP TIME,Davide URBANI ELAPSED TIME,LEFRANCOIS-GAUVREAU Mathieu POSITION,LEFRANCOIS-GAUVREAU Mathieu LAP TIME,LEFRANCOIS-GAUVREAU Mathieu ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
3,7.036,7.036,2,7.003,7.003,4,7.418,7.418,1,6.611,6.611
2,9.105,16.140,3,9.269,16.272,4,9.129,16.546,1,9.311,15.921
1,8.865,25.005,2,8.752,25.023,3,8.768,25.313,4,9.417,25.338
1,9.005,34.010,4,32.128,57.151,2,8.898,34.211,3,24.686,50.024
1,9.98,43.987,4,17.57,1:14.714,2,9.88,44.091,3,19.38,1:09.395
