LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,13.87,13.87,1,13.72,13.72,4,14.03,14.03,3,13.89,13.89
2,11.20,25.08,1,11.17,24.89,4,11.23,25.26,3,11.26,25.15
3,10.27,35.35,2,10.27,35.16,4,10.11,35.37,1,9.96,35.12
3,9.52,44.87,4,9.75,44.92,1,9.48,44.85,2,9.73,44.85
1,8.88,53.75,4,9.11,54.03,2,9.02,53.88,3,9.08,53.93
1,9.09,1:02.85,4,9.04,1:03.08,2,9.14,1:03.02,3,9.13,1:03.06
2,8.87,1:11.73,4,8.81,1:11.90,1,8.66,1:11.69,3,8.79,1:11.86
2,8.76,1:20.49,4,8.83,1:20.74,1,8.74,1:20.44,3,8.75,1:20.61
2,8.93,1:29.419,3,8.88,1:29.612,1,8.92,1:29.352,4,9.09,1:29.693
