Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Felipe de SOUZA POSITION,Felipe de SOUZA LAP TIME,Felipe de SOUZA ELAPSED TIME
2,15.976,15.976,1,15.912,15.912,3,16.057,16.057,4,16.212,16.212
2,11.431,27.407,1,11.402,27.314,3,11.389,27.445,4,11.708,27.919
2,10.489,37.895,1,10.401,37.715,3,10.496,37.941,4,11.171,39.090
1,10.051,47.946,2,10.363,48.077,3,10.419,48.360,4,11.443,50.533
1,9.502,57.448,2,9.702,57.779,3,9.670,58.029,4,11.718,1:02.251
1,9.739,1:07.186,2,9.654,1:07.432,3,9.666,1:07.695,4,12.268,1:14.518
1,9.572,1:16.758,2,9.858,1:17.289,3,9.837,1:17.532,4,13.722,1:28.239
1,9.890,1:26.647,2,10.165,1:27.453,3,10.025,1:27.556,4,13.014,1:41.253
1,10.44,1:37.087,3,10.60,1:38.048,2,10.49,1:38.042,4,13.56,1:54.804
