Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Petr HARGAS POSITION,Petr HARGAS LAP TIME,Petr HARGAS ELAPSED TIME
2,15.48,15.48,3,15.61,15.61,1,15.46,15.46,4,15.66,15.66
1,10.84,26.32,2,10.90,26.51,3,11.17,26.63,4,11.12,26.78
1,10.31,36.63,2,10.25,36.76,3,10.26,36.89,4,10.21,36.99
1,9.95,46.58,2,9.94,46.70,3,9.92,46.81,4,10.03,47.02
1,9.36,55.94,2,9.38,56.08,3,9.40,56.21,4,9.48,56.50
1,9.24,1:05.18,2,9.20,1:05.28,3,9.18,1:05.39,4,9.07,1:05.57
2,9.29,1:14.47,1,9.16,1:14.44,3,9.19,1:14.58,4,9.15,1:14.72
3,9.71,1:24.18,1,9.11,1:23.55,2,9.26,1:23.84,4,9.51,1:24.23
3,10.07,1:34.242,1,9.49,1:33.034,2,9.34,1:33.180,4,10.98,1:35.206
