Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
4,9.00,9.00,1,8.83,8.83,3,8.93,8.93,2,8.88,8.88,5,9.11,9.11
3,12.19,21.19,2,12.35,21.18,4,12.28,21.21,1,12.19,21.07,5,12.26,21.37
1,10.57,31.76,4,10.95,32.13,3,10.76,31.97,2,10.78,31.85,5,10.89,32.26
1,10.79,42.55,4,10.75,42.88,3,10.80,42.77,2,10.79,42.64,5,10.72,42.98
1,11.20,53.75,5,11.27,54.15,3,11.22,53.99,2,11.22,53.86,4,11.11,54.09
3,10.89,1:04.64,5,10.74,1:04.89,2,10.61,1:04.60,1,10.66,1:04.52,4,10.69,1:04.78
3,9.96,1:14.60,5,9.92,1:14.81,1,9.83,1:14.43,2,9.97,1:14.49,4,9.92,1:14.70
3,10.07,1:24.67,5,10.17,1:24.98,1,10.01,1:24.44,2,10.06,1:24.55,4,10.17,1:24.87
3,9.76,1:34.43,5,9.70,1:34.68,1,9.77,1:34.21,2,9.78,1:34.33,4,9.69,1:34.56
3,9.37,1:43.80,5,9.49,1:44.17,1,9.42,1:43.63,2,9.38,1:43.71,4,9.35,1:43.91
3,9.54,1:53.34,5,9.85,1:54.02,1,9.62,1:53.25,2,9.63,1:53.34,4,9.61,1:53.52
2,9.06,2:02.40,5,9.85,2:03.87,1,9.07,2:02.32,3,9.21,2:02.55,4,9.28,2:02.80
2,9.22,2:11.62,5,10.50,2:14.37,1,9.20,2:11.52,3,9.20,2:11.75,4,9.78,2:12.58
2,9.18,2:20.795,5,11.05,2:25.418,1,9.20,2:20.719,3,9.43,2:21.175,4,10.61,2:23.186
