Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
5,8.510,8.510,3,8.197,8.197,1,8.088,8.088,2,8.173,8.173,4,8.248,8.248
5,11.026,19.536,3,11.054,19.251,2,11.136,19.223,1,10.789,18.962,4,11.189,19.436
5,11.153,30.688,2,11.072,30.323,3,11.129,30.351,1,11.187,30.148,4,11.091,30.527
5,10.938,41.626,3,11.171,41.493,2,11.106,41.457,1,11.053,41.201,4,11.058,41.584
2,9.971,51.596,3,10.240,51.733,4,10.306,51.763,1,10.276,51.476,5,10.256,51.840
3,9.772,1:01.367,4,9.646,1:01.378,2,9.501,1:01.264,1,9.703,1:01.179,5,9.548,1:01.388
5,10.069,1:11.435,1,9.602,1:10.980,4,9.871,1:11.134,2,9.834,1:11.013,3,9.713,1:11.100
5,9.879,1:21.314,2,9.777,1:20.756,3,9.783,1:20.917,1,9.731,1:20.743,4,9.853,1:20.953
5,9.653,1:30.967,2,9.898,1:30.653,4,9.809,1:30.725,1,9.750,1:30.493,3,9.713,1:30.666
5,9.669,1:40.636,3,9.568,1:40.221,4,9.812,1:40.537,1,9.436,1:39.929,2,9.471,1:40.137
5,9.881,1:50.516,3,9.313,1:49.533,4,9.806,1:50.343,1,9.546,1:49.474,2,9.382,1:49.519
5,10.031,2:00.547,1,9.183,1:58.715,4,9.972,2:00.315,3,9.432,1:58.906,2,9.279,1:58.798
5,10.244,2:10.790,1,9.195,2:07.910,4,10.310,2:10.624,2,9.272,2:08.177,3,9.406,2:08.204
5,10.65,2:21.435,1,9.41,2:17.319,4,10.58,2:21.198,3,9.80,2:17.970,2,9.58,2:17.782
