Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
4,9.120,9.120,5,9.140,9.140,2,8.980,8.980,1,8.750,8.750,3,9.010,9.010,6,9.270,9.270
5,11.910,21.040,1,11.440,20.580,4,11.980,20.960,3,12.020,20.770,2,11.740,20.760,6,12.000,21.270
5,10.900,31.940,1,10.990,31.580,4,10.850,31.820,3,11.040,31.820,2,11.040,31.810,6,11.020,32.300
5,10.330,42.280,1,10.290,41.870,2,10.220,42.050,4,10.360,42.180,3,10.330,42.140,6,10.280,42.590
5,10.340,52.620,1,10.350,52.230,3,10.430,52.480,4,10.370,52.550,2,10.220,52.360,6,10.320,52.910
5,10.070,1:02.690,1,10.250,1:02.490,2,10.010,1:02.490,4,10.030,1:02.580,3,10.160,1:02.520,6,10.010,1:02.930
4,10.000,1:12.690,3,10.090,1:12.580,1,10.030,1:12.530,5,10.150,1:12.730,2,10.050,1:12.580,6,10.040,1:12.970
5,10.080,1:22.770,1,9.770,1:22.350,2,9.890,1:22.420,4,9.950,1:22.690,3,9.860,1:22.440,6,9.860,1:22.830
6,10.030,1:32.810,3,9.990,1:32.350,2,9.880,1:32.310,4,9.990,1:32.690,1,9.850,1:32.300,5,9.960,1:32.800
5,9.650,1:42.470,2,9.840,1:42.200,3,9.900,1:42.210,4,9.660,1:42.350,1,9.830,1:42.130,6,9.780,1:42.590
5,9.990,1:52.460,3,10.020,1:52.220,6,10.660,1:52.880,2,9.740,1:52.100,1,9.870,1:52.010,4,9.700,1:52.290
6,10.060,2:02.520,2,10.050,2:02.280,5,9.550,2:02.430,1,9.670,2:01.780,3,10.300,2:02.310,4,10.140,2:02.430
4,10.020,2:12.550,5,10.310,2:12.590,6,10.280,2:12.720,1,9.370,2:11.150,2,10.050,2:12.370,3,10.050,2:12.490
3,10.100,2:22.650,5,10.190,2:22.780,6,10.420,2:23.140,1,9.900,2:21.060,4,10.320,2:22.690,2,10.050,2:22.540
