Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,JUNG Jun Ho POSITION,JUNG Jun Ho LAP TIME,JUNG Jun Ho ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME
5,9.16,9.16,4,9.02,9.02,3,8.88,8.88,1,8.66,8.66,2,8.73,8.73,6,9.24,9.24
6,14.30,23.46,5,14.23,23.25,1,14.06,22.94,3,14.38,23.04,2,14.30,23.03,4,14.01,23.25
6,11.59,35.05,4,11.55,34.80,1,11.47,34.41,3,11.63,34.67,2,11.51,34.54,5,11.69,34.94
6,10.57,45.62,4,10.59,45.39,1,10.69,45.10,3,10.64,45.31,2,10.64,45.18,5,10.53,45.47
6,11.19,56.81,4,11.09,56.48,1,11.14,56.24,3,11.14,56.45,2,11.17,56.35,5,11.18,56.65
6,10.76,1:07.57,3,10.67,1:07.15,1,10.83,1:07.07,4,10.81,1:07.26,2,10.79,1:07.14,5,10.81,1:07.46
5,9.74,1:17.31,3,9.98,1:17.13,1,9.71,1:16.78,6,10.11,1:17.37,2,9.75,1:16.89,4,9.68,1:17.14
4,9.90,1:27.21,6,29.75,1:46.88,1,9.40,1:26.18,5,14.56,1:31.93,2,9.42,1:26.31,3,9.38,1:26.52
4,9.18,1:36.39,6,12.38,1:59.26,1,9.33,1:35.51,5,10.73,1:42.66,2,9.32,1:35.63,3,9.23,1:35.75
4,9.24,1:45.63,6,10.82,2:10.08,1,9.36,1:44.87,5,10.99,1:53.65,2,9.33,1:44.96,3,9.36,1:45.11
4,9.61,1:55.24,6,10.51,2:20.59,1,9.50,1:54.37,5,14.26,2:07.91,2,9.44,1:54.40,3,9.44,1:54.55
4,10.01,2:05.25,6,10.38,2:30.97,2,9.29,2:03.66,5,16.79,2:24.70,1,9.01,2:03.41,3,9.27,2:03.82
4,10.66,2:15.91,5,10.51,2:41.48,2,9.31,2:12.97,6,17.21,2:41.91,1,9.10,2:12.51,3,9.35,2:13.17
4,11.44,2:27.348,5,11.47,2:52.950,2,9.59,2:22.560,6,13.63,2:55.540,1,9.75,2:22.251,3,9.96,2:23.127
