Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,12.81,12.81,3,13.05,13.05,2,12.88,12.88,4,13.11,13.11
1,9.80,22.61,4,9.83,22.88,2,9.79,22.67,3,9.73,22.84
1,8.95,31.56,4,9.19,32.07,3,9.27,31.94,2,8.97,31.81
2,9.03,40.59,4,9.02,41.09,3,8.96,40.90,1,8.78,40.59
1,8.87,49.46,3,8.76,49.85,4,8.98,49.88,2,8.90,49.49
1,9.02,58.48,4,9.24,59.09,3,9.08,58.96,2,9.26,58.75
2,9.00,1:07.48,4,9.03,1:08.12,3,9.08,1:08.04,1,8.72,1:07.47
2,9.41,1:16.89,4,9.22,1:17.34,3,9.06,1:17.10,1,9.28,1:16.75
2,9.23,1:26.119,4,9.38,1:26.712,3,9.46,1:26.558,1,9.33,1:26.072
