LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
2,12.94,12.94,1,12.82,12.82,4,13.15,13.15,3,13.03,13.03
2,10.01,22.95,1,10.03,22.85,4,10.01,23.16,3,9.98,23.01
1,9.58,32.53,2,9.71,32.56,4,9.68,32.84,3,9.69,32.70
2,9.68,42.21,3,9.84,42.40,4,9.65,42.49,1,9.31,42.01
2,9.76,51.97,3,9.66,52.06,4,9.66,52.15,1,9.86,51.87
2,9.91,1:01.88,3,9.92,1:01.98,4,9.98,1:02.13,1,9.91,1:01.78
2,9.82,1:11.70,3,9.81,1:11.79,4,9.75,1:11.88,1,9.82,1:11.60
2,9.73,1:21.43,3,9.72,1:21.51,4,9.73,1:21.61,1,9.71,1:21.31
2,9.84,1:31.267,4,39.90,2:01.410,3,10.07,1:31.671,1,9.87,1:31.176
