Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Weronika SUROWIEC POSITION,Weronika SUROWIEC LAP TIME,Weronika SUROWIEC ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
1,13.25,13.25,3,13.52,13.52,5,21.46,,4,13.85,13.85,2,13.37,13.37
2,10.53,23.78,3,10.40,23.92,5,15.63,,4,10.18,24.03,1,10.36,23.73
2,10.90,34.68,3,10.85,34.77,5,11.48,,4,10.85,34.88,1,10.82,34.55
1,10.53,45.21,3,10.71,45.48,5,11.22,,4,10.64,45.52,2,10.76,45.31
1,9.91,55.12,3,9.87,55.35,5,11.21,,4,10.33,55.85,2,9.87,55.18
1,9.76,1:04.88,3,9.73,1:05.08,5,11.13,,4,10.56,1:06.41,2,9.79,1:04.97
1,9.75,1:14.63,3,9.71,1:14.79,5,12.66,,4,11.07,1:17.48,2,9.69,1:14.66
3,10.12,1:24.75,2,9.63,1:24.42,5,12.78,,4,11.77,1:29.25,1,9.48,1:24.14
3,10.42,1:35.17,2,9.62,1:34.04,5,15.20,2:02.77,4,12.17,1:41.42,1,9.75,1:33.89
