FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
1,13.98,13.98,2,14.16,14.16,4,14.24,14.24,3,14.21,14.21
2,10.60,24.58,3,10.54,24.70,4,10.57,24.81,1,10.28,24.49
1,10.74,35.32,3,10.86,35.56,4,10.90,35.71,2,10.87,35.36
1,10.22,45.54,3,10.12,45.68,4,10.07,45.78,2,10.20,45.56
4,10.07,55.61,1,9.69,55.37,3,9.75,55.53,2,9.95,55.51
4,9.50,1:05.11,1,9.31,1:04.68,3,9.52,1:05.05,2,9.42,1:04.93
4,9.31,1:14.42,1,9.42,1:14.10,3,9.26,1:14.31,2,9.28,1:14.21
4,9.42,1:23.84,1,9.45,1:23.55,3,9.43,1:23.74,2,9.42,1:23.63
4,9.79,1:33.627,1,9.55,1:33.091,3,9.59,1:33.324,2,9.56,1:33.184
