SUN Long POSITION,SUN Long LAP TIME,SUN Long ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
1,6.68,6.68,3,7.04,7.04,2,6.87,6.87,4,7.19,7.19
1,8.67,15.35,4,8.98,16.02,2,8.58,15.45,3,8.72,15.91
2,8.43,23.78,4,38.20,54.22,1,8.25,23.70,3,8.42,24.33
3,34.24,58.02,4,19.62,1:13.84,1,8.64,32.34,2,8.62,32.95
3,19.78,1:17.807,4,11.04,1:24.884,1,8.89,41.23,2,8.92,41.873
