Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
1,6.96,6.96,2,7.15,7.15,3,7.15,7.15,4,7.32,7.32
1,8.93,15.89,3,8.98,16.13,2,8.86,16.01,4,8.91,16.23
2,8.48,24.37,3,8.44,24.57,1,8.35,24.36,4,8.56,24.79
2,8.61,32.98,3,8.50,33.07,1,8.52,32.88,4,8.69,33.48
2,8.84,41.820,3,8.92,41.981,1,8.83,41.709,4,8.87,42.348
