Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
2,12.77,12.77,4,12.97,12.97,1,12.51,12.51,3,12.83,12.83
2,9.07,21.84,4,9.02,21.99,1,9.21,21.72,2,9.01,21.84
4,9.43,31.27,3,9.15,31.14,1,9.08,30.80,2,9.07,30.91
4,9.09,40.36,3,8.80,39.94,1,8.93,39.73,2,8.91,39.82
4,9.10,49.46,3,8.91,48.85,1,8.97,48.70,2,8.95,48.77
4,9.32,58.78,3,8.94,57.79,2,9.04,57.74,1,8.95,57.72
4,9.63,1:08.41,2,8.82,1:06.61,3,9.14,1:06.88,1,8.88,1:06.60
4,10.01,1:18.42,1,8.91,1:15.52,3,9.11,1:15.99,2,9.05,1:15.65
4,10.25,1:28.676,1,8.97,1:24.49,3,9.27,1:25.26,2,8.93,1:24.58
