Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,13.760,13.760,4,14.074,14.074,3,13.906,13.906,2,13.870,13.870
3,10.815,24.574,4,10.642,24.715,1,10.514,24.420,2,10.622,24.491
3,10.551,35.125,4,10.588,35.303,1,10.582,35.002,2,10.622,35.113
2,10.385,45.509,4,10.435,45.738,1,10.495,45.496,3,10.446,45.559
2,10.411,55.920,4,10.373,56.110,1,10.416,55.912,3,10.419,55.977
2,10.486,1:06.405,4,10.435,1:06.545,3,10.565,1:06.476,1,10.273,1:06.249
1,10.261,1:16.666,3,10.292,1:16.837,4,10.693,1:17.169,2,10.477,1:16.725
1,10.141,1:26.806,2,10.064,1:26.901,4,11.013,1:28.181,3,10.974,1:27.699
2,10.74,1:37.546,1,10.34,1:37.233,4,11.36,1:39.535,3,11.13,1:38.828
