KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME
2,13.62,13.62,4,13.89,13.89,3,13.75,13.75,1,13.51,13.51
2,10.81,24.43,4,10.80,24.69,3,10.80,24.55,1,10.81,24.32
2,10.52,34.95,4,10.50,35.19,3,10.52,35.07,1,10.53,34.85
2,10.20,45.15,4,10.15,45.34,3,10.15,45.22,1,10.17,45.02
2,9.93,55.08,4,9.95,55.29,3,9.99,55.21,1,9.96,54.98
2,9.70,1:04.78,4,9.79,1:05.08,3,9.75,1:04.96,1,9.80,1:04.78
3,10.16,1:14.94,4,9.87,1:14.95,1,9.62,1:14.58,2,10.06,1:14.84
4,39.78,1:54.72,3,10.04,1:24.99,1,9.71,1:24.29,2,10.03,1:24.87
4,18.50,2:13.213,2,10.20,1:35.186,1,10.14,1:34.430,3,10.47,1:35.334
