van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Adrienn MATYOK POSITION,Adrienn MATYOK LAP TIME,Adrienn MATYOK ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
2,16.82,16.82,4,17.07,17.07,1,16.63,16.63,3,16.95,16.95,5,17.24,17.24
2,13.36,30.18,5,13.35,30.42,2,13.55,30.18,4,13.36,30.31,1,12.92,30.16
2,11.96,42.14,3,11.81,42.23,4,12.11,42.29,5,12.11,42.42,1,11.90,42.06
2,10.79,52.93,5,11.34,53.57,1,10.52,52.81,4,10.72,53.14,3,11.00,53.06
1,10.07,1:03.00,5,10.18,1:03.75,2,10.38,1:03.19,4,10.23,1:03.37,2,10.13,1:03.19
1,9.76,1:12.76,5,9.74,1:13.49,3,9.84,1:13.03,4,9.80,1:13.17,2,9.67,1:12.86
1,9.64,1:22.40,5,9.99,1:23.48,3,9.56,1:22.59,4,9.57,1:22.74,2,9.61,1:22.47
1,9.39,1:31.79,5,10.52,1:34.00,3,9.40,1:31.99,4,9.44,1:32.18,2,9.43,1:31.90
1,9.45,1:41.24,5,11.03,1:45.03,3,9.36,1:41.35,4,9.71,1:41.89,2,9.42,1:41.32
