KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
5,13.40,13.40,3,13.18,13.18,1,13.02,13.02,4,13.19,13.19,2,13.10,13.10
5,9.92,23.32,4,10.02,23.20,2,9.96,22.98,1,9.63,22.82,3,9.98,23.08
5,10.09,33.41,4,10.06,33.26,2,10.08,33.06,1,10.19,33.01,3,10.05,33.13
5,9.53,42.94,3,9.53,42.79,1,9.55,42.61,4,9.82,42.83,2,9.58,42.71
5,9.91,52.85,3,9.92,52.71,1,9.91,52.52,4,10.02,52.85,2,9.92,52.63
4,9.96,1:02.81,3,10.09,1:02.80,1,10.09,1:02.61,5,10.21,1:03.06,2,10.06,1:02.69
3,9.42,1:12.23,4,9.58,1:12.38,1,9.44,1:12.05,5,9.60,1:12.66,2,9.46,1:12.15
3,9.45,1:21.68,4,9.41,1:21.79,1,9.44,1:21.49,5,9.70,1:22.36,2,9.43,1:21.58
2,9.40,1:31.075,4,9.43,1:31.211,1,9.55,1:31.035,5,10.47,1:32.829,3,9.52,1:31.094
