Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
1,13.73,13.73,3,13.92,13.92,2,13.81,13.81,4,14.03,14.03
2,11.02,24.75,3,10.97,24.89,1,10.85,24.66,4,10.97,25.00
2,10.46,35.21,4,10.62,35.51,1,10.46,35.12,3,10.33,35.33
2,10.19,45.40,4,10.14,45.65,1,10.16,45.28,3,10.18,45.51
2,9.62,55.02,4,9.69,55.34,1,9.66,54.94,3,9.68,55.19
2,9.25,1:04.27,4,9.26,1:04.60,1,9.26,1:04.20,3,9.23,1:04.42
2,9.02,1:13.29,3,9.31,1:13.91,1,9.00,1:13.20,4,10.13,1:14.55
2,9.08,1:22.37,3,9.78,1:23.69,1,9.04,1:22.24,4,11.36,1:25.91
1,9.06,1:31.428,3,10.26,1:33.941,2,9.20,1:31.440,4,11.05,1:36.958
