Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME
2,8.319,8.319,3,8.676,8.676,1,8.223,8.223,6,8.966,8.966,4,8.795,8.795,5,8.945,8.945
3,11.570,19.888,5,11.287,19.962,2,11.448,19.671,4,10.989,19.955,1,10.857,19.651,6,11.205,20.150
3,11.283,31.171,4,11.329,31.291,1,11.140,30.810,5,11.522,31.477,2,11.441,31.092,6,11.428,31.578
3,11.388,42.559,5,11.434,42.725,1,11.530,42.340,4,11.093,42.569,2,11.383,42.474,6,11.175,42.753
2,10.571,53.129,5,10.635,53.360,3,10.814,53.154,4,10.766,53.335,1,10.611,53.085,6,10.732,53.485
3,10.442,1:03.571,5,10.240,1:03.599,4,10.426,1:03.580,2,10.195,1:03.529,1,10.358,1:03.443,6,10.309,1:03.794
5,10.835,1:14.405,2,10.380,1:13.978,1,10.341,1:13.921,4,10.835,1:14.364,3,10.766,1:14.208,6,10.741,1:14.534
5,10.594,1:24.999,1,10.544,1:24.522,2,10.662,1:24.583,4,10.612,1:24.975,3,10.618,1:24.826,6,10.475,1:25.009
5,10.147,1:35.145,1,10.286,1:34.807,3,10.292,1:34.874,4,10.085,1:35.060,2,10.005,1:34.831,6,10.179,1:35.187
4,9.594,1:44.739,1,9.621,1:44.428,5,9.969,1:44.843,2,9.545,1:44.605,3,9.883,1:44.713,6,9.886,1:45.073
2,9.893,1:54.631,1,10.056,1:54.483,5,10.026,1:54.868,3,10.058,1:54.662,4,9.962,1:54.675,6,9.913,1:54.985
3,9.984,2:04.615,1,9.778,2:04.260,5,10.234,2:05.102,4,10.032,2:04.693,2,9.915,2:04.589,6,10.293,2:05.278
4,9.609,2:14.224,1,9.700,2:13.959,5,10.438,2:15.540,3,9.497,2:14.190,2,9.490,2:14.079,6,10.273,2:15.551
3,9.73,2:23.948,4,10.28,2:24.230,6,11.13,2:26.669,2,9.63,2:23.811,1,9.62,2:23.696,5,10.42,2:25.962
