Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
1,14.88,14.88,3,15.15,15.15,2,15.05,15.05,4,15.32,15.32
1,10.70,25.58,3,10.71,25.86,2,10.68,25.73,4,10.70,26.02
1,10.36,35.94,3,10.31,36.17,2,10.35,36.08,4,10.25,36.27
1,10.12,46.06,3,10.17,46.34,2,10.12,46.20,4,10.22,46.49
1,9.89,55.95,2,9.64,55.98,3,10.03,56.23,4,9.84,56.33
2,9.98,1:05.93,1,9.85,1:05.83,4,10.24,1:06.47,3,10.05,1:06.38
2,10.26,1:16.19,1,10.26,1:16.09,4,10.51,1:16.98,3,10.26,1:16.64
2,10.36,1:26.55,1,10.36,1:26.45,4,10.90,1:27.88,3,10.76,1:27.40
1,10.21,1:36.752,2,10.63,1:37.075,4,11.19,1:39.069,3,11.06,1:38.452
