Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME,Aurelie LEVEQUE POSITION,Aurelie LEVEQUE LAP TIME,Aurelie LEVEQUE ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,Caroline MURPHY POSITION,Caroline MURPHY LAP TIME,Caroline MURPHY ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME
4,17.51,17.51,3,17.47,17.47,5,17.56,17.56,2,17.42,17.42,1,17.36,17.36
3,12.39,29.90,1,12.26,29.73,5,12.54,30.10,4,12.59,30.01,2,12.47,29.83
4,12.32,42.22,2,12.24,41.97,1,11.83,41.93,5,12.26,42.27,3,12.25,42.08
4,10.83,53.05,3,11.01,52.98,2,10.92,52.85,1,10.57,52.84,5,11.13,53.21
3,9.82,1:02.87,4,10.05,1:03.03,2,9.97,1:02.82,1,9.82,1:02.66,5,10.16,1:03.37
3,9.76,1:12.63,4,10.04,1:13.07,2,9.73,1:12.55,1,9.82,1:12.48,5,10.09,1:13.46
3,10.03,1:22.66,4,10.09,1:23.16,2,10.03,1:22.58,1,10.02,1:22.50,5,10.27,1:23.73
2,10.18,1:32.84,4,10.38,1:33.54,3,10.39,1:32.97,1,10.27,1:32.77,5,10.50,1:34.23
2,10.74,1:43.548,4,10.66,1:44.173,3,10.70,1:43.641,1,10.71,1:43.459,5,10.67,1:44.860
