KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Gleb IVCHENKO POSITION,Gleb IVCHENKO LAP TIME,Gleb IVCHENKO ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
3,13.90,13.90,4,14.02,,1,13.67,13.67,2,13.80,13.80,5,14.04,14.04
2,10.07,23.97,5,10.12,,3,10.33,24.00,1,10.07,23.87,4,10.06,24.10
2,10.03,34.00,5,10.21,,4,10.22,34.22,1,10.04,33.91,3,9.99,34.09
2,9.84,43.84,5,9.78,,4,9.83,44.05,1,9.85,43.76,3,9.85,43.94
2,9.72,53.56,4,9.70,,5,9.92,53.97,1,9.71,53.47,3,9.73,53.67
1,9.31,1:02.87,5,16.35,,4,15.92,1:09.89,2,9.57,1:03.04,3,9.48,1:03.15
1,9.19,1:12.06,5,17.38,,4,14.41,1:24.30,2,9.04,1:12.08,3,9.10,1:12.25
2,9.18,1:21.24,5,14.60,,4,11.35,1:35.65,1,9.08,1:21.16,3,9.13,1:21.38
1,9.20,1:30.44,5,14.20,,4,11.27,1:46.923,2,9.39,1:30.55,3,9.23,1:30.616
