Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,Jerebelle YUTANGCO POSITION,Jerebelle YUTANGCO LAP TIME,Jerebelle YUTANGCO ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
4,9.42,9.42,3,9.27,9.27,5,9.54,9.54,2,9.17,9.17,1,9.14,9.14,6,9.71,9.71
4,12.26,21.68,1,12.21,21.48,5,12.26,21.80,2,12.32,21.49,3,12.43,21.57,6,12.25,21.96
1,11.74,33.42,4,12.37,33.85,5,12.21,34.01,3,12.22,33.71,2,11.98,33.55,6,12.14,34.10
1,11.22,44.64,4,11.14,44.99,5,11.12,45.13,3,11.19,44.90,2,11.21,44.76,6,11.14,45.24
1,11.14,55.78,3,10.99,55.98,5,11.11,56.24,4,11.18,56.08,2,11.13,55.89,6,11.11,56.35
1,10.87,1:06.65,3,10.76,1:06.74,5,10.75,1:06.99,4,10.79,1:06.87,1,10.76,1:06.65,6,10.75,1:07.10
1,10.33,1:16.98,2,10.34,1:17.08,4,10.38,1:17.37,6,10.63,1:17.50,3,10.65,1:17.30,5,10.31,1:17.41
2,10.14,1:27.12,1,9.96,1:27.04,4,9.89,1:27.26,6,10.05,1:27.55,5,10.11,1:27.41,2,9.71,1:27.12
2,9.83,1:36.95,1,9.84,1:36.88,4,9.85,1:37.11,5,9.90,1:37.45,6,10.31,1:37.72,3,9.88,1:37.00
2,10.03,1:46.98,1,9.99,1:46.87,4,9.99,1:47.10,5,10.20,1:47.65,6,10.67,1:48.39,3,10.06,1:47.06
3,10.10,1:57.08,2,10.20,1:57.07,1,9.86,1:56.96,5,10.38,1:58.03,6,11.21,1:59.60,4,10.21,1:57.27
2,9.92,2:07.00,3,10.11,2:07.18,1,9.75,2:06.71,5,10.65,2:08.68,6,11.58,2:11.18,4,10.14,2:07.41
2,10.08,2:17.08,3,10.41,2:17.59,1,10.15,2:16.86,5,10.98,2:19.66,6,11.93,2:23.11,4,10.92,2:18.33
2,10.42,2:27.50,3,11.08,2:28.674,1,10.38,2:27.24,5,11.27,2:30.937,6,12.49,2:35.607,4,11.86,2:30.191
