Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
1,13.95,13.95,3,14.07,14.07,4,14.13,14.13,1,13.95,13.95,5,14.22,14.22
2,10.72,24.67,3,10.76,24.83,4,10.83,24.96,1,10.61,24.56,5,10.85,25.07
2,10.41,35.08,3,10.42,35.25,4,10.42,35.38,1,10.48,35.04,5,10.42,35.49
1,10.15,45.23,3,10.12,45.37,4,10.05,45.43,2,10.27,45.31,5,10.09,45.58
1,9.92,55.15,2,9.88,55.25,4,10.10,55.53,3,10.07,55.38,5,10.06,55.64
1,10.04,1:05.19,2,10.05,1:05.30,4,10.04,1:05.57,3,10.07,1:05.45,5,10.10,1:05.74
1,9.93,1:15.12,2,9.91,1:15.21,4,10.11,1:15.68,3,9.87,1:15.32,5,10.37,1:16.11
1,9.90,1:25.02,2,9.93,1:25.14,4,10.34,1:26.02,3,10.00,1:25.32,5,10.66,1:26.77
1,10.00,1:34.998,2,9.96,1:35.075,4,10.78,1:36.784,3,9.95,1:35.254,5,10.78,1:37.532
