Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,6.80,6.80,2,6.91,6.91,3,7.11,7.11,4,7.21,7.21,5,7.35,7.35
1,8.88,15.68,2,8.85,15.76,3,8.69,15.80,4,8.77,15.98,5,8.74,16.09
1,8.36,24.04,1,8.28,24.04,3,8.37,24.17,4,8.29,24.27,5,8.28,24.37
3,8.55,32.59,1,8.46,32.50,2,8.40,32.57,4,8.39,32.66,5,8.50,32.87
3,8.80,41.372,1,8.67,41.17,2,8.72,41.29,4,8.79,41.432,5,8.80,41.651
