Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,13.39,13.39,1,13.05,13.05,4,13.51,13.51,3,13.42,13.42
4,10.43,23.83,1,10.19,23.24,2,9.88,23.39,3,10.28,23.71
4,9.70,33.53,1,9.67,32.91,2,9.81,33.20,3,9.74,33.46
4,9.87,43.40,1,9.65,42.57,2,9.86,43.07,3,9.63,43.09
3,9.92,53.33,1,9.86,52.43,4,24.42,1:07.50,2,9.67,52.76
3,9.68,1:03.02,1,9.69,1:02.13,4,19.56,1:27.06,2,9.55,1:02.32
3,10.11,1:13.13,1,9.36,1:11.49,4,13.16,1:40.22,2,9.56,1:11.89
3,10.99,1:24.12,1,9.78,1:21.27,4,11.62,1:51.85,2,9.95,1:21.84
2,12.27,1:36.381,0,,DQ,3,11.75,2:03.591,1,11.55,1:33.384
