Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,6.83,6.83,3,7.14,7.14,2,6.94,6.94,4,7.29,7.29
1,8.99,15.82,3,9.01,16.15,2,8.88,15.82,4,8.96,16.25
1,8.67,24.49,4,8.71,24.86,2,8.84,24.66,3,8.50,24.75
1,9.03,33.52,4,8.90,33.76,2,8.94,33.60,3,8.98,33.73
2,9.12,42.637,1,8.87,42.629,3,9.21,42.806,4,9.40,43.124
