Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME
1,9.27,9.27,3,9.46,9.46,6,9.76,9.76,4,9.52,9.52,5,9.60,9.60,2,9.41,9.41
3,13.09,22.36,1,12.79,22.25,6,12.92,22.68,5,13.10,22.62,2,12.74,22.34,4,13.12,22.53
3,12.70,35.06,2,12.69,34.94,6,12.76,35.44,5,12.70,35.32,1,12.52,34.86,4,12.66,35.19
3,12.94,48.00,2,12.94,47.88,6,12.92,48.36,5,12.94,48.26,1,12.93,47.79,4,12.98,48.17
3,12.34,1:00.34,2,12.36,1:00.24,6,12.24,1:00.60,4,12.13,1:00.39,1,12.32,1:00.11,5,12.29,1:00.46
3,11.69,1:12.03,2,11.64,1:11.88,6,11.82,1:12.42,4,11.75,1:12.14,1,11.67,1:11.78,5,11.82,1:12.28
3,11.32,1:23.35,1,11.24,1:23.12,6,11.27,1:23.69,4,11.34,1:23.48,2,11.46,1:23.24,5,11.32,1:23.60
3,11.04,1:34.39,1,11.13,1:34.25,6,10.96,1:34.65,4,11.01,1:34.49,2,11.09,1:34.33,5,10.92,1:34.52
4,10.00,1:44.39,2,9.96,1:44.21,6,9.96,1:44.61,1,9.57,1:44.06,3,9.98,1:44.31,5,9.97,1:44.49
4,9.47,1:53.86,2,9.57,1:53.78,6,9.59,1:54.20,1,9.63,1:53.69,3,9.55,1:53.86,5,9.59,1:54.08
1,9.05,2:02.91,3,9.35,2:03.13,6,9.40,2:03.60,2,9.33,2:03.02,4,9.39,2:03.25,5,9.42,2:03.50
1,8.92,2:11.83,3,8.86,2:11.99,5,9.13,2:12.73,2,8.87,2:11.89,4,8.87,2:12.12,6,9.23,2:12.73
1,8.88,2:20.71,3,8.89,2:20.88,6,12.04,2:24.77,2,8.89,2:20.78,4,8.78,2:20.90,5,9.88,2:22.61
1,9.03,2:29.739,3,10.30,2:31.172,5,11.12,2:35.882,2,9.14,2:29.912,0,,PEN,4,10.32,2:32.929
