Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
3,14.56,14.56,4,14.57,14.57,2,14.50,14.50,1,14.49,14.49
4,11.29,25.86,2,11.18,25.75,1,11.09,25.59,3,11.27,25.77
3,10.84,36.70,4,11.01,36.77,2,11.05,36.65,1,10.84,36.61
3,10.43,47.14,4,10.43,47.20,2,10.44,47.09,1,10.35,46.96
3,10.04,57.18,4,10.19,57.40,2,10.03,57.12,1,10.14,57.10
3,9.99,1:07.18,4,9.87,1:07.28,1,9.99,1:07.12,2,10.03,1:07.14
3,9.81,1:16.99,4,10.03,1:17.31,1,9.77,1:16.89,2,9.82,1:16.97
2,9.64,1:26.63,4,9.99,1:27.30,1,9.48,1:26.38,3,10.01,1:26.98
2,9.89,1:36.519,4,10.37,1:37.664,1,9.74,1:36.114,3,9.99,1:36.965
