Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
0,8.691,8.691,0,8.412,8.412,0,8.818,8.818,0,8.677,8.677,0,8.475,8.475
0,11.962,20.652,0,11.887,20.299,0,11.957,20.775,0,12.488,21.165,0,11.904,20.379
0,10.962,31.614,0,11.390,31.689,0,10.958,31.733,0,10.579,31.744,0,11.050,31.428
0,11.572,43.186,0,11.492,43.180,0,11.700,43.433,0,11.584,43.328,0,11.604,43.033
0,11.635,54.821,0,11.629,54.810,0,11.637,55.070,0,11.360,54.689,0,11.614,54.646
0,10.504,1:05.325,0,10.741,1:05.551,0,10.727,1:05.797,0,10.599,1:05.288,0,10.773,1:05.419
0,10.257,1:15.582,0,10.066,1:15.617,0,10.130,1:15.927,0,10.242,1:15.530,0,10.167,1:15.586
0,10.408,1:25.990,0,10.689,1:26.306,0,10.538,1:26.465,0,10.606,1:26.135,0,10.542,1:26.128
0,10.161,1:36.151,0,10.074,1:36.380,0,10.582,1:37.048,0,10.180,1:36.315,0,10.194,1:36.322
0,10.169,1:46.321,0,9.962,1:46.342,0,10.932,1:47.980,0,10.018,1:46.334,0,9.980,1:46.301
0,10.037,1:56.357,0,10.033,1:56.375,0,11.563,1:59.543,0,10.089,1:56.423,0,10.042,1:56.343
0,10.557,2:06.915,0,10.360,2:06.735,0,12.035,2:11.578,0,10.152,2:06.575,0,9.868,2:06.211
0,11.423,2:18.338,0,10.287,2:17.022,0,12.166,2:23.743,0,9.765,2:16.341,0,10.486,2:16.697
0,,,0,,,0,,,0,,,0,,
