Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Daniela IVANOVA POSITION,Daniela IVANOVA LAP TIME,Daniela IVANOVA ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,10.227,10.227,3,10.640,10.640,0,,,4,10.868,10.868,2,10.512,10.512
2,13.832,24.059,4,13.533,24.173,1,,23.920,5,13.614,24.482,3,13.588,24.100
4,12.472,36.531,2,12.306,36.480,3,12.570,36.490,5,12.289,36.770,1,12.284,36.384
4,11.599,48.130,2,11.455,47.935,3,11.602,48.092,5,11.520,48.290,1,11.498,47.882
4,11.440,59.570,1,11.319,59.254,3,11.436,59.529,5,11.443,59.733,2,11.525,59.407
2,11.136,1:10.705,1,11.385,1:10.639,4,11.605,1:11.134,5,11.625,1:11.358,3,11.428,1:10.835
2,10.690,1:21.395,1,10.681,1:21.320,4,10.512,1:21.646,5,10.507,1:21.865,3,10.713,1:21.548
2,10.468,1:31.864,1,10.471,1:31.791,4,10.590,1:32.236,5,10.487,1:32.351,3,10.593,1:32.140
3,10.318,1:42.182,2,10.364,1:42.155,4,10.187,1:42.423,5,10.081,1:42.432,1,9.799,1:41.939
3,10.089,1:52.270,2,9.813,1:51.968,5,10.031,1:52.454,4,10.008,1:52.440,1,9.831,1:51.770
5,10.605,2:02.875,2,9.909,2:01.877,4,10.112,2:02.567,3,9.633,2:02.073,1,10.008,2:01.779
5,11.389,2:14.264,2,10.207,2:12.084,4,10.388,2:12.955,3,10.033,2:12.106,1,10.126,2:11.905
5,12.706,2:26.970,3,10.236,2:22.320,4,10.888,2:23.843,1,9.752,2:21.858,2,10.341,2:22.246
5,13.316,2:40.286,3,10.725,2:33.044,4,12.005,2:35.848,1,9.878,2:31.736,2,10.265,2:32.511
