Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
3,10.27,10.27,2,9.92,9.92,4,10.70,10.70,5,13.18,13.18,1,9.63,9.63
3,11.06,21.33,2,10.96,20.88,4,11.16,21.86,5,11.00,24.18,1,10.98,20.61
3,10.14,31.47,2,10.40,31.28,4,9.87,31.73,5,9.39,33.57,1,10.53,31.14
4,10.69,42.16,3,10.71,41.99,2,10.22,41.95,5,9.50,43.07,1,10.78,41.92
4,10.47,52.63,2,10.36,52.35,1,10.31,52.26,5,9.65,52.72,3,10.53,52.45
5,10.77,1:03.40,2,10.68,1:03.03,1,10.63,1:02.89,4,10.57,1:03.29,3,10.70,1:03.15
5,10.59,1:13.99,2,10.54,1:13.57,1,10.56,1:13.45,4,10.54,1:13.83,3,10.53,1:13.68
5,10.54,1:24.53,2,10.45,1:24.02,1,10.44,1:23.89,4,10.54,1:24.37,3,10.48,1:24.16
5,10.48,1:35.01,2,10.23,1:34.25,1,10.25,1:34.14,4,10.53,1:34.90,3,10.24,1:34.40
5,10.72,1:45.73,2,10.23,1:44.48,1,10.21,1:44.35,4,10.71,1:45.61,3,10.27,1:44.67
4,10.84,1:56.57,2,9.91,1:54.39,1,9.94,1:54.29,5,10.97,1:56.58,3,9.98,1:54.65
4,10.71,2:07.28,2,9.90,2:04.29,1,9.91,2:04.20,5,11.59,2:08.17,3,9.94,2:04.59
4,11.01,2:18.29,2,9.77,2:14.06,1,9.81,2:14.01,5,13.13,2:21.30,3,10.20,2:14.79
4,11.38,2:29.662,2,9.90,2:23.957,1,9.83,2:23.839,5,14.60,2:35.891,3,10.99,2:25.771
