Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
3,7.32,7.32,1,7.02,7.02,2,7.17,7.17,4,7.47,7.47
3,9.16,16.48,1,9.20,16.22,2,9.17,16.34,4,9.33,16.80
3,8.82,25.30,1,8.94,25.16,2,8.91,25.25,4,8.94,25.74
2,9.19,34.49,1,9.02,34.18,3,9.45,34.70,4,9.10,34.84
2,9.05,43.534,1,9.33,43.503,4,9.61,44.310,3,9.12,43.953
