Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
2,7.04,7.04,1,6.86,6.86,4,7.28,7.28,3,7.24,7.24
2,9.01,16.05,1,8.94,15.80,4,9.00,16.28,3,8.94,16.18
2,8.54,24.59,1,8.52,24.32,4,8.46,24.74,3,8.44,24.62
4,8.86,33.45,1,8.67,32.99,2,8.45,33.19,3,8.63,33.25
4,8.77,42.221,1,8.93,41.919,2,8.79,41.978,3,8.93,42.180
