Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
4,13.47,13.47,1,12.92,12.92,2,13.07,13.07,3,13.16,13.16,5,13.48,13.48
4,10.09,23.56,1,10.21,23.14,3,10.28,23.35,2,10.05,23.21,5,10.19,23.68
4,9.55,33.11,1,9.64,32.78,3,9.69,33.05,2,9.71,32.93,5,9.48,33.16
3,9.73,42.84,1,10.00,42.79,4,9.92,42.98,2,9.87,42.81,5,9.98,43.14
1,9.44,52.28,3,9.54,52.34,5,10.36,53.34,2,9.50,52.31,4,9.86,53.01
2,9.37,1:01.66,1,9.31,1:01.65,5,27.41,1:20.76,3,9.57,1:01.89,4,10.87,1:03.88
1,9.27,1:10.94,2,9.44,1:11.09,5,16.47,1:37.24,3,9.32,1:11.22,4,12.10,1:15.99
1,9.37,1:20.31,2,9.52,1:20.61,5,12.47,1:49.71,3,9.62,1:20.84,4,12.22,1:28.21
1,10.11,1:30.418,2,10.03,1:30.640,4,12.77,2:02.474,3,9.86,1:30.696,0,,DQ
