Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
3,16.380,16.380,2,16.300,16.300,1,16.140,16.140
3,14.930,31.310,2,14.940,31.240,1,14.880,31.020
3,14.600,45.920,2,14.660,45.910,1,14.600,45.620
3,13.680,59.600,2,13.490,59.410,1,13.680,59.310
3,12.530,1:12.130,2,12.600,1:12.010,1,12.580,1:11.900
1,9.980,1:22.120,3,10.240,1:22.250,2,10.240,1:22.140
1,10.010,1:32.130,2,9.970,1:32.220,3,10.240,1:32.390
1,10.120,1:42.250,2,10.360,1:42.580,3,10.250,1:42.640
1,10.560,1:52.820,3,10.420,1:53.010,2,10.310,1:52.960
