Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,13.24,,4,13.50,13.50,3,13.30,13.30,1,13.09,13.09
4,9.93,,1,9.24,22.74,3,9.73,23.03,2,9.80,22.89
4,9.25,,1,9.23,31.97,3,9.24,32.27,2,9.22,32.11
4,9.15,,1,9.29,41.26,3,9.20,41.47,2,9.26,41.37
4,9.21,,1,9.22,50.48,3,9.21,50.68,2,9.22,50.59
4,9.15,,1,9.11,59.59,3,9.11,59.79,2,9.16,59.75
4,9.14,,1,9.15,1:08.74,2,9.11,1:08.90,3,9.30,1:09.05
3,9.23,,1,9.38,1:18.12,2,9.31,1:18.21,4,9.53,1:18.58
2,9.82,,1,9.70,1:27.82,4,22.20,1:40.41,3,10.29,1:28.87
