SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME
2,17.18,17.18,3,17.32,17.32,4,17.50,17.50,1,17.03,17.03
2,14.22,31.40,3,14.25,31.57,4,14.23,31.73,1,14.22,31.25
2,12.92,44.32,4,12.87,44.44,3,12.68,44.41,1,12.92,44.17
3,10.56,54.88,4,10.52,54.96,1,10.29,54.70,2,10.60,54.77
3,10.10,1:04.98,4,10.13,1:05.09,1,10.15,1:04.85,2,10.17,1:04.94
1,9.34,1:14.32,2,9.36,1:14.45,3,9.85,1:14.70,4,9.83,1:14.77
1,9.31,1:23.63,2,9.25,1:23.70,3,9.74,1:24.44,4,9.81,1:24.58
1,9.64,1:33.27,2,9.66,1:33.36,3,9.82,1:34.26,4,9.78,1:34.36
1,9.94,1:43.21,2,9.96,1:43.32,4,10.44,1:44.70,3,10.16,1:44.52
