Tatiana ZIMOVA POSITION,Tatiana ZIMOVA LAP TIME,Tatiana ZIMOVA ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME
3,15.404,15.404,2,15.268,15.268,4,15.520,15.520,1,15.023,15.023
3,12.015,27.419,2,11.940,27.208,4,11.904,27.423,1,12.006,27.029
4,11.376,38.794,2,11.289,38.496,1,10.834,38.257,3,11.480,38.509
4,10.237,49.031,2,10.224,48.720,1,10.462,48.718,3,10.424,48.932
4,10.775,59.805,2,10.730,59.450,1,10.621,59.339,3,10.633,59.565
4,10.672,1:10.477,2,10.651,1:10.101,1,10.652,1:09.991,3,10.680,1:10.244
4,10.482,1:20.958,1,10.374,1:20.475,2,10.492,1:20.482,3,10.308,1:20.552
4,10.595,1:31.553,2,10.064,1:30.539,1,10.039,1:30.520,3,10.355,1:30.907
4,11.02,1:42.564,2,10.35,1:40.887,1,10.19,1:40.701,3,10.38,1:41.280
