LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
2,13.19,13.19,3,13.23,13.23,4,13.40,13.40,1,13.07,13.07,5,13.51,13.51
3,9.80,22.99,2,9.68,22.91,3,9.59,22.99,1,9.76,22.83,5,9.62,23.13
4,9.82,32.81,2,9.68,32.59,3,9.71,32.70,1,9.65,32.48,5,9.78,32.91
4,9.21,42.02,1,9.15,41.74,3,9.23,41.93,2,9.37,41.85,5,9.25,42.16
4,8.86,50.88,1,8.92,50.66,3,8.91,50.84,1,8.81,50.66,5,8.90,51.06
4,8.83,59.71,2,8.87,59.53,3,8.77,59.61,1,8.78,59.44,5,8.88,59.94
4,8.81,1:08.52,2,8.74,1:08.27,3,8.83,1:08.44,1,8.74,1:08.18,5,9.11,1:09.05
4,8.89,1:17.41,2,8.79,1:17.06,3,8.80,1:17.24,1,8.77,1:16.95,5,9.54,1:18.59
3,9.05,1:26.46,1,8.97,1:26.03,2,8.99,1:26.23,5,24.83,1:41.78,4,9.90,1:28.49
