Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
5,10.45,10.45,6,10.50,10.50,2,10.14,10.14,1,9.98,9.98,4,10.28,10.28,3,10.25,10.25
6,13.30,23.75,2,12.84,23.34,5,13.45,23.59,4,13.49,23.47,3,13.12,23.40,1,12.98,23.23
6,12.90,36.65,2,12.79,36.13,5,12.89,36.48,4,12.88,36.35,3,12.83,36.23,1,12.73,35.96
4,11.46,48.11,2,11.88,48.01,5,11.78,48.26,6,11.98,48.33,1,11.77,48.00,3,12.10,48.06
3,10.05,58.16,5,10.24,58.25,4,9.96,58.22,6,10.11,58.44,1,9.95,57.95,2,10.02,58.08
2,9.71,1:07.87,5,9.88,1:08.13,4,9.88,1:08.10,6,9.76,1:08.20,1,9.71,1:07.66,3,9.93,1:08.01
3,9.32,1:17.19,6,9.46,1:17.59,5,9.33,1:17.43,2,8.90,1:17.10,1,9.42,1:17.08,4,9.34,1:17.35
2,9.12,1:26.31,6,9.19,1:26.78,5,9.22,1:26.65,1,9.12,1:26.22,3,9.30,1:26.38,4,9.23,1:26.58
1,9.46,1:35.77,6,9.51,1:36.29,5,9.50,1:36.15,2,9.56,1:35.78,3,9.51,1:35.89,4,9.49,1:36.07
1,9.12,1:44.89,5,9.28,1:45.57,4,9.28,1:45.43,2,9.52,1:45.30,6,11.27,1:47.16,3,9.26,1:45.33
1,9.12,1:54.01,4,9.22,1:54.79,3,9.21,1:54.64,5,10.02,1:55.32,6,31.56,2:18.72,2,9.21,1:54.54
1,9.02,2:03.03,4,9.01,2:03.80,3,8.98,2:03.62,5,9.80,2:05.12,6,13.81,2:32.53,2,8.97,2:03.51
1,9.11,2:12.14,4,9.07,2:12.87,3,9.11,2:12.73,5,10.22,2:15.34,6,12.20,2:44.73,2,9.11,2:12.62
1,9.32,2:21.451,4,9.37,2:22.237,2,9.25,2:21.980,5,11.05,2:26.384,0,,notime,3,9.47,2:22.086
