AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,WANG Baojian POSITION,WANG Baojian LAP TIME,WANG Baojian ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,12.597,12.597,1,12.471,12.471,3,12.867,12.867,4,13.085,13.085
2,9.683,22.280,1,9.800,22.271,3,9.577,22.443,4,9.513,22.597
2,9.725,32.004,1,9.701,31.971,3,9.815,32.258,4,9.785,32.382
1,9.494,41.498,2,9.694,41.665,3,9.501,41.758,4,9.586,41.968
2,9.863,51.361,1,9.686,51.350,3,9.648,51.406,4,9.751,51.719
1,9.664,1:01.024,2,9.813,1:01.163,3,9.841,1:01.246,4,9.817,1:01.535
2,9.747,1:10.771,4,10.037,1:11.199,1,9.522,1:10.768,3,9.664,1:11.199
1,9.030,1:19.800,4,10.049,1:21.248,2,9.431,1:20.198,3,9.848,1:21.046
1,9.76,1:29.552,4,10.37,1:31.617,2,9.66,1:29.856,3,9.99,1:31.027
