Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Maria OBORINA POSITION,Maria OBORINA LAP TIME,Maria OBORINA ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME
5,15.57,15.57,4,15.30,15.30,3,15.21,15.21,1,15.05,15.05,2,15.20,15.20
5,11.06,26.63,4,11.18,26.48,2,11.07,26.28,1,11.21,26.26,3,11.11,26.31
5,10.58,37.21,4,10.64,37.12,1,10.57,36.85,2,10.68,36.94,3,10.71,37.02
5,10.43,47.64,4,10.42,47.54,1,10.42,47.27,2,10.41,47.35,3,10.42,47.44
5,9.71,57.35,4,9.69,57.23,2,9.86,57.13,1,9.62,56.97,3,9.78,57.22
4,9.38,1:06.73,2,9.42,1:06.65,3,9.56,1:06.69,1,9.61,1:06.58,5,9.79,1:07.01
2,9.46,1:16.19,1,9.34,1:15.99,5,11.03,1:17.72,3,10.00,1:16.58,4,9.81,1:16.82
2,9.61,1:25.80,1,9.66,1:25.65,5,12.96,1:30.68,3,10.27,1:26.85,4,10.09,1:26.91
0,,PEN,1,9.85,1:35.497,2,15.08,1:45.760,3,38.26,2:05.106,0,,PEN
