CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
2,8.39,8.39,1,8.17,8.17,3,8.55,8.55,6,9.13,9.13,4,8.80,8.80,5,8.91,8.91
2,11.71,20.10,1,11.85,20.02,3,11.68,20.23,6,11.43,20.56,5,11.56,20.36,4,11.37,20.28
2,10.82,30.92,1,10.83,30.85,5,10.80,31.03,4,10.45,31.01,6,10.78,31.14,3,10.69,30.97
2,10.44,41.36,1,10.42,41.27,4,10.63,41.66,6,10.93,41.94,5,10.59,41.73,3,10.56,41.53
2,10.65,52.01,1,10.62,51.89,4,10.56,52.22,6,10.51,52.45,5,10.57,52.30,3,10.58,52.11
2,10.34,1:02.35,1,10.35,1:02.24,4,10.34,1:02.56,6,10.42,1:02.87,5,10.39,1:02.69,3,10.31,1:02.42
2,9.99,1:12.34,1,10.01,1:12.25,4,10.00,1:12.56,6,10.01,1:12.88,5,10.03,1:12.72,3,10.05,1:12.47
2,9.77,1:22.11,1,9.78,1:22.03,4,9.78,1:22.34,5,9.60,1:22.48,6,9.96,1:22.68,3,9.73,1:22.20
2,9.55,1:31.66,1,9.48,1:31.51,4,9.54,1:31.88,5,9.64,1:32.12,6,9.80,1:32.48,3,9.56,1:31.76
2,9.51,1:41.17,1,9.59,1:41.10,4,9.48,1:41.36,5,9.70,1:41.82,6,10.06,1:42.54,3,9.47,1:41.23
2,9.63,1:50.80,1,9.65,1:50.75,4,9.63,1:50.99,5,10.01,1:51.83,6,10.34,1:52.88,3,9.65,1:50.88
1,9.54,2:00.34,3,9.76,2:00.51,4,9.76,2:00.75,5,10.36,2:02.19,6,10.65,2:03.53,2,9.53,2:00.41
1,9.74,2:10.08,3,9.91,2:10.42,4,10.10,2:10.85,5,11.17,2:13.36,6,10.77,2:14.30,2,9.68,2:10.09
2,9.84,2:19.920,3,10.08,2:20.492,4,10.66,2:21.507,5,11.23,2:24.585,6,11.11,2:25.402,1,9.67,2:19.751
