Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME
3,9.23,9.23,4,9.36,9.36,2,9.07,9.07,6,9.82,9.82,5,9.55,9.55,1,8.90,8.90
3,10.63,19.86,4,10.63,19.99,2,10.60,19.67,6,10.92,20.74,5,10.67,20.22,1,10.67,19.57
3,10.23,30.09,4,10.24,30.23,2,10.30,29.97,6,9.88,30.62,5,10.15,30.37,1,10.30,29.87
3,10.52,40.61,4,10.49,40.72,2,10.54,40.51,6,10.39,41.01,5,10.48,40.85,1,10.58,40.45
3,10.96,51.57,4,10.98,51.70,2,10.98,51.49,6,10.99,52.00,5,10.96,51.81,1,10.97,51.42
3,11.14,1:02.71,4,11.16,1:02.86,2,11.10,1:02.59,6,11.17,1:03.17,5,11.19,1:03.00,1,11.09,1:02.51
1,10.96,1:13.67,4,10.97,1:13.83,3,11.14,1:13.73,6,11.01,1:14.18,5,11.02,1:14.02,1,11.16,1:13.67
1,10.26,1:23.93,4,10.42,1:24.25,3,10.39,1:24.12,6,10.50,1:24.68,5,10.34,1:24.36,2,10.36,1:24.03
1,10.58,1:34.51,4,10.62,1:34.87,3,10.59,1:34.71,6,10.57,1:35.25,5,10.53,1:34.89,2,10.60,1:34.63
1,10.20,1:44.71,5,10.43,1:45.30,4,10.51,1:45.22,6,10.58,1:45.83,2,9.83,1:44.72,3,10.42,1:45.05
2,9.74,1:54.45,5,10.04,1:55.34,4,9.98,1:55.20,6,10.73,1:56.56,1,9.60,1:54.32,3,10.09,1:55.14
2,9.74,2:04.19,5,10.21,2:05.55,4,10.28,2:05.48,6,11.02,2:07.58,1,9.70,2:04.02,3,10.30,2:05.44
2,9.90,2:14.09,3,10.58,2:16.13,4,10.89,2:16.37,6,11.35,2:18.93,1,9.89,2:13.91,5,11.03,2:16.47
2,9.86,2:23.943,3,10.75,2:26.849,4,10.63,2:26.977,6,11.96,2:30.863,1,9.99,2:23.876,5,11.77,2:28.214
