KIM Cheol Min POSITION,KIM Cheol Min LAP TIME,KIM Cheol Min ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
4,7.35,7.35,1,6.96,6.96,2,7.18,7.18,3,7.20,7.20
4,9.39,16.74,1,9.24,16.20,2,9.27,16.45,3,9.29,16.49
4,8.82,25.56,1,8.66,24.86,3,9.06,25.51,2,8.89,25.38
3,8.80,34.36,1,8.74,33.60,4,9.24,34.75,2,8.82,34.20
3,8.85,43.205,1,8.88,42.472,4,9.31,44.057,2,8.81,43.007
